emoji,total_occurrences,num_texts
™,250,196
©,97,73
😭,50,29
😔,29,18
❤️,27,25
®,27,15
😂,19,14
❤,14,14
🥲,14,10
🏴,14,2
✨,12,8
😅,12,12
😬,11,8
😢,10,7
🫠,9,9
🤔,9,5
😞,8,8
🙏,8,8
💜,8,8
😌,8,6
💀,8,8
🙂,8,8
✅,7,3
🤦🏻‍♀️,7,3
😓,7,7
🤯,6,4
❌,6,2
😊,6,6
😕,6,6
🥰,5,4
☹️,5,5
🥺,5,4
😖,5,3
😩,5,5
😱,5,4
💕,4,4
⚠️,4,2
🖤,4,4
🚩,4,2
😦,3,3
😮‍💨,3,3
😪,3,3
⁉️,3,1
☠️,3,1
😳,3,3
😫,3,3
😑,3,2
🤦‍♀️,3,3
💗,3,3
😨,3,1
🧡,3,3
🛑,2,1
❓,2,1
⬇️,2,2
😍,2,2
🤷,2,2
💚,2,2
⚡,2,2
➡️,2,1
🍃,2,1
🙄,2,2
🤷‍♂️,2,2
💝,2,2
🤡,2,2
😚,2,2
😁,2,2
🤩,2,2
🔃,2,2
🙃,2,2
✌️,2,2
💛,2,2
👇🏽,2,2
🤗,2,2
💖,2,2
🫢,1,1
🌷,1,1
💔,1,1
😀,1,1
❤️‍🔥,1,1
🤭,1,1
🐟,1,1
🥳,1,1
🤕,1,1
🙌,1,1
🤷🏼‍♀️,1,1
🫶🏼,1,1
😹,1,1
🙋🏽‍♂️,1,1
😵‍💫,1,1
🙋🏻‍♀️,1,1
☺️,1,1
🤞,1,1
🤫,1,1
😣,1,1
♥️,1,1
🤦🏼‍♀️,1,1
💋,1,1
🤦🏻‍♂️,1,1
🔥,1,1
🌊,1,1
🤷‍♀️,1,1
😆,1,1
😜,1,1
💩,1,1
😒,1,1
😠,1,1
⛅,1,1
👍🏼,1,1
☹,1,1
✌🏻,1,1
😐,1,1
🥕,1,1
🐰,1,1
💸,1,1
😇,1,1
👩‍🎓,1,1
🤦🏽‍♀️,1,1
🤣,1,1
🔴,1,1
🫣,1,1
🤍,1,1
🙁,1,1
👋🏻,1,1
🫤,1,1
⛽,1,1
📷,1,1
🐕,1,1
😏,1,1
😥,1,1
🥱,1,1
🙈,1,1
💅,1,1
🥹,1,1
🖕,1,1
🤷🏽,1,1
⏳,1,1
